Tamamlandı,Faza,№,Tapşırıq,Prioritet,Qeyd
,Faza 0 - Əsas və mühit,1,Repo qovluqlarını bir dəfə xəritələ: Ecommerce (vitrin) Admin Login db.sql,,,
,Faza 0 - Əsas və mühit,2,XAMPP: Apache + MySQL işləkliyini yoxla,,,
,Faza 0 - Əsas və mühit,3,phpMyAdmin-də corona (və ya DB_NAME) bazasını yarat / db.sql import et,,,
,Faza 0 - Əsas və mühit,4,.env və ya mühit dəyişənləri: DB_HOST DB_NAME DB_USER DB_PASS (connection.php uyğun),,,
,Faza 0 - Əsas və mühit,5,.env.example nümunə faylı əlavə et (real parol olmadan),,,
,Faza 0 - Əsas və mühit,6,.gitignore: .env upload qovluqları ehtiyac varsa,,,
,Faza 1 - Verilənlər bazası,7,Məhsul kateqoriya səbət sifariş üçün cədvəl sxemini kağızda/şemada təsdiqlə,,,
,Faza 1 - Verilənlər bazası,8,Yeni cədvəllər üçün SQL migration faylları yaz (products categories order_items və s.),,,
,Faza 1 - Verilənlər bazası,9,email üçün UNIQUE indeks signup və ya users cədvəlində,,,
,Faza 1 - Verilənlər bazası,10,Foreign key-lər və indekslər (user_id order_id product_id),,,
,Faza 1 - Verilənlər bazası,11,Seed: test admin test müştəri bir neçə məhsul,,,
,Faza 2 - Rollar,12,Admin: admin_user cədvəli Login validate.php axını ilə tam uyğunlaşdır,,,
,Faza 2 - Rollar,13,Admin signup (əgər varsa) yalnız admin_user-a yazsın duplicate email yoxlaması,,,
,Faza 2 - Rollar,14,Müştəri: signup cədvəli password_hash ilə qeydiyyat,,,
,Faza 2 - Rollar,15,Session ayrımı: admin vs müştəri (eyni key-ləri qarışdırma),,,
,Faza 3 - Vitrin linklər,16,Bütün əsas nav linkləri .html-dən .php-ya dəyiş (index signin signup dashboard),,,
,Faza 3 - Vitrin linklər,17,Relative path-lər: Ecommerce alt qovluqda işləyən URL-ləri yoxla,,,
,Faza 3 - Vitrin auth,18,signin.php: POST form backend PDO ilə yoxlama password_verify,,,
,Faza 3 - Vitrin auth,19,signin.php: uğursuzluqda session flash mesaj,,,
,Faza 3 - Vitrin auth,20,signup.php: server validasiya duplicate email hash parol,,,
,Faza 3 - Vitrin auth,21,logout.php: session_destroy və redirect,,,
,Faza 3 - Dashboard,22,dashboard.php: login yoxlaması session yoxdursa signin.php,,,
,Faza 3 - Dashboard,23,dashboard.php: Hello və profil DB-dən (John Doe statikini çıxart),,,
,Faza 3 - Dashboard,24,dashboard.php: RECENT ORDERS cədvəli DB və ya boş sətir mesajı,,,
,Faza 3 - Dashboard,25,dashboard.php: Orders Placed sayğacları real query və ya placeholder,,,
,Faza 4 - Admin panel,26,Admin public səhifələrə giriş guard (session yoxdursa Login),,,
,Faza 4 - Admin panel,27,User CRUD axınlarını DB ilə sınaqdan keçir,,,
,Faza 4 - Admin panel,28,Slider CRUD şəkil upload yolu və fayl tipi yoxlaması,,,
,Faza 5 - E-ticarət axını,29,Məhsul siyahısı səhifəsi DB-dən,,,
,Faza 5 - E-ticarət axını,30,Məhsul detal səhifəsi,,,
,Faza 5 - E-ticarət axını,31,Səbət: əlavə et miqdar session və ya DB,,,
,Faza 5 - E-ticarət axını,32,Checkout: ünvan və sifariş yaratma,,,
,Faza 5 - E-ticarət axını,33,Admin: sifariş siyahısı və status dəyişimi,,,
,Faza 6 - Təhlükəsizlik,34,Bütün istifadəçi çıxışlarında htmlspecialchars,,,
,Faza 6 - Təhlükəsizlik,35,POST formlarına CSRF token,,,
,Faza 6 - Təhlükəsizlik,36,Yalnız prepared statements yoxlama,,,
,Faza 6 - Təhlükəsizlik,37,Production display_errors söndür,,,
,Faza 7 - Yekun,38,README: quraşdırma DB import URL-lər,,,
,Faza 7 - Yekun,39,Manual test checklist: admin giriş müştəri qeydiyyat dashboard,,,
,Faza 7 - Yekun,40,Backup strategiyası db dump versiyası,,,
